14-12-2023, 11:07:42,image name,002_12.00_052_9.jpg,model name,Proj_020_071223_101200_07122023_122221.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:07:44,image name,002_12.00_052_9.jpg,model name,Proj_020_071223_101200_07122023_122221.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.23,cnter,1599,2874,area,167,width,15,height,15
,,class name,D223,score,0.16,cnter,4690,2818,area,17,width,6,height,3
,,class name,D223,score,0.16,cnter,4685,2818,area,2,width,2,height,2
,,class name,D223,score,0.18,cnter,4348,2774,area,54,width,8,height,10
,,class name,D223,score,0.20,cnter,4291,2768,area,162,width,16,height,14
,,class name,D223,score,0.21,cnter,4136,2750,area,106,width,13,height,11
,,class name,D223,score,0.17,cnter,4031,2740,area,34,width,10,height,5
,,class name,D223,score,0.23,cnter,4054,2739,area,249,width,25,height,17
,,class name,D223,score,0.17,cnter,1453,2620,area,182,width,21,height,18
,,class name,D223,score,0.16,cnter,4583,2559,area,1,width,2,height,1
,,class name,D223,score,0.17,cnter,4579,2557,area,77,width,20,height,5
,,class name,D223,score,0.73,cnter,2742,2449,area,234,width,17,height,18
,,class name,D223,score,0.20,cnter,2039,1041,area,551,width,26,height,47
,,class name,D223,score,0.15,cnter,3107,511,area,1,width,2,height,1
14-12-2023, 11:09:58,image name,002_12.00_051_1.jpg,model name,Proj_010_261023_110700_26102023_154930.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.50,cnter,1130,2594,area,1305,width,49,height,42
,,class name,D223,score,0.17,cnter,1232,2562,area,23,width,8,height,4
,,class name,D223,score,0.16,cnter,1282,2533,area,5,width,3,height,4
,,class name,D223,score,0.16,cnter,4213,2515,area,14,width,4,height,5
14-12-2023, 11:10:05,image name,002_12.00_051_1.jpg,model name,Proj_010_261023_110700_26102023_154930.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.50,cnter,1130,2594,area,1305,width,49,height,42
,,class name,D223,score,0.17,cnter,1232,2562,area,23,width,8,height,4
,,class name,D223,score,0.16,cnter,1282,2533,area,5,width,3,height,4
,,class name,D223,score,0.16,cnter,4213,2515,area,14,width,4,height,5
14-12-2023, 11:10:14,image name,002_12.00_053_2.jpg,model name,Proj_010_261023_110700_26102023_154930.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.23,cnter,1023,2840,area,127,width,13,height,13
,,class name,D223,score,0.19,cnter,913,2832,area,85,width,12,height,10
,,class name,D223,score,0.21,cnter,3066,2822,area,125,width,13,height,13
,,class name,D223,score,0.21,cnter,3033,2820,area,322,width,54,height,9
